Year,Code,Industry,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL,
2022,4481,Clothing stores,"16,910","17,347","18,114","18,209","18,116","18,083","17,714","18,073","18,306","18,486","18,395","18,319",,
2022,44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
2022,44812,Women's clothing stores,"3,380","3,516","3,630","3,538","3,494","3,475","3,369","3,519","3,488","3,439","3,426","3,419",,
2022,4482,Shoe stores,"3,059","3,125","3,232","3,238","3,315","3,306","3,149","3,292","3,343","3,329","3,326","3,183",,
2022,44831,Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
2022,451,"Sporting goods, hobby, musical instrument, and book stores","8,143","8,462","8,490","8,546","8,534","8,603","8,567","8,677","8,663","8,745","8,551","8,610",,
2022,452,General merchandise stores,"68,245","68,961","69,631","70,621","71,095","72,032","71,294","71,751","72,286","72,162","72,308","71,666",,
2022,4521,Department stores,"11,227","11,412","11,461","11,541","11,569","11,474","11,355","11,440","11,588","11,375","11,179","11,235",,
2022,4529,Other general merchandise stores,"57,018","57,549","58,170","59,080","59,526","60,558","59,939","60,311","60,698","60,787","61,129","60,431",,
2022,45291,Warehouse clubs and superstores,"49,268","49,684","50,151","50,971","51,200","52,295","51,693","51,992","52,316","52,411","52,641","51,941",,
2022,45299,All other gen. merchandise stores,"7,750","7,865","8,019","8,109","8,326","8,263","8,246","8,319","8,382","8,376","8,488","8,490",,
2022,453,Miscellaneous stores retailers,"14,288","14,695","14,983","15,096","14,898","15,309","15,157","15,382","15,124","15,051","14,685","14,752",,
2022,454,Nonstore retailers,"104,142","102,329","103,341","104,504","105,375","105,679","106,707","108,179","108,333","110,035","108,147","109,812",,
2022,4541,Electronic shopping and mail order houses,"94,725","92,819","93,398","94,446","94,811","95,236","96,363","97,582","98,117","99,087","97,742","99,324",,
2022,45431,Fuel dealers,"3,601","3,822","3,858","4,036","4,552","4,416","4,076","4,092","3,894","4,367","3,789","3,770",,
2022,722,Food services and drinking places,"72,335","75,619","77,812","80,528","81,182","82,110","81,558","83,652","84,060","85,771","85,118","85,079",,
2021,441,Motor vehicle and parts dealers,"114,181","110,910","130,694","133,472","131,141","127,347","122,143","119,751","121,113","122,885","125,229","123,171",,
2021,"4411,4412",Automobile and other motor vehicle dealers,"105,714","102,467","121,099","123,866","121,722","117,909","112,659","110,185","111,600","113,155","115,459","113,105",,
2021,4413,"Automotive parts, acc., and tire stores","8,467","8,443","9,595","9,606","9,419","9,438","9,484","9,566","9,513","9,730","9,770","10,066",,
2021,"442,443","Furniture, home furn, electronics, and appliance stores","18,965","18,079","20,078","20,041","19,853","20,202","20,001","19,679","19,567","20,229","19,194","18,717",,
2021,442,Furniture and home furnishings stores,"11,730","11,079","11,956","11,936","11,813","11,745","11,742","11,705","11,708","11,827","11,893","11,491",,
2021,443,Electronics and appliance stores,"7,235","7,000","8,122","8,105","8,040","8,457","8,259","7,974","7,859","8,402","7,301","7,226",,
2021,444,Building mat. and garden equip. and supplies dealers,"38,490","36,967","42,218","42,014","40,456","39,769","39,017","39,059","39,320","40,223","41,235","41,442",,
2021,4441,Building mat. and supplies dealers,"33,254","31,823","36,421","36,599","35,280","34,548","33,854","33,711","34,144","34,880","35,839","35,997",,
2021,445,Food and beverage stores,"71,322","71,650","71,966","72,553","73,178","73,796","73,663","75,361","75,724","76,303","76,525","77,013",,
2021,4451,Grocery stores,"63,335","63,714","63,837","64,366","65,018","65,595","65,656","67,330","67,712","68,341","68,398","68,944",,
2021,4453,"Beer, wine and liquor stores","5,868","5,825","5,926","5,938","5,894","5,885","5,707","5,763","5,762","5,764","5,823","5,783",,
2021,446,Health and personal care stores,"30,346","30,033","32,551","32,505","31,859","32,857","32,704","32,956","32,676","32,566","32,890","32,801",,
2021,44611,Pharmacies and drug stores,"25,469","25,281","27,373","27,348","26,666","27,596","27,264","27,636","27,447","27,227","27,547","27,559",,
2021,447,Gasoline stations,"40,368","41,303","46,005","44,722","44,813","45,688","46,659","48,184","49,775","51,660","52,536","53,804",,
2021,448,Clothing and clothing access. stores,"20,710","19,774","24,049","23,962","24,616","25,570","25,047","24,593","24,881","25,030","25,715","24,873",,
2021,4481,Clothing stores,"14,090","13,665","16,394","16,537","16,903","17,765","17,566","17,194","17,372","17,281","17,747","17,177",,
2021,44811,Men's clothing stores,467,473,613,618,(S),(S),(S),(S),(S),(S),(S),(S),,
2021,44812,Women's clothing stores,"2,938","2,744","3,151","3,192","3,275","3,582","3,640","3,475","3,499","3,435","3,489","3,350",,
2021,4482,Shoe stores,"3,219","2,644","3,524","3,477","3,517","3,567","3,242","3,116","3,167","3,160","3,184","3,254",,
2021,44831,Jewelry stores,"3,152","3,218",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
2021,451,"Sporting goods, hobby, musical instrument, and book stores","8,460","7,639","9,227","8,960","8,693","8,572","8,376","8,403","8,380","8,381","8,752","8,454",,
2021,452,General merchandise stores,"65,118","61,935","66,688","67,331","66,599","66,148","66,304","66,797","66,898","67,724","67,603","67,924",,
2021,4521,Department stores,"10,383","9,882","11,264","11,097","11,343","11,497","11,291","11,246","11,305","11,399","11,224","11,206",,
2021,4529,Other general merchandise stores,"54,735","52,053","55,424","56,234","55,256","54,651","55,013","55,551","55,593","56,325","56,379","56,718",,
2021,45291,Warehouse clubs and superstores,"46,920","44,646","47,195","48,029","47,260","46,918","47,309","47,787","47,853","48,438","48,359","48,678",,
2021,45299,All other gen. merchandise stores,"7,815","7,407","8,229","8,205","7,996","7,733","7,704","7,764","7,740","7,887","8,020","8,040",,
2021,453,Miscellaneous stores retailers,"11,970","11,757","13,137","13,212","12,355","13,253","13,450","13,576","13,885","14,119","14,253","14,255",,
2021,454,Nonstore retailers,"90,810","87,711","93,736","93,803","91,719","95,212","90,102","94,607","94,978","98,070","99,426","98,442",,
2021,4541,Electronic shopping and mail order houses,"82,765","79,304","85,202","84,994","83,200","86,634","81,502","86,197","86,449","89,014","90,442","89,965",,
2021,45431,Fuel dealers,"2,650","3,100","2,835","2,776","2,829","3,019","3,003","2,911","3,034","3,244","3,282","2,962",,
2021,722,Food services and drinking places,"58,569","57,171","65,224","67,981","70,096","73,198","74,928","74,692","74,907","74,875","75,870","74,702",,
2020,441,Motor vehicle and parts dealers,"102,270","103,018","76,019","65,177","98,701","107,086","106,240","107,469","111,145","110,504","109,533","112,361",,
2020,"4411,4412",Automobile and other motor vehicle dealers,"94,333","95,143","68,871","58,417","90,338","98,137","97,557","98,740","102,577","102,244","101,260","104,145",,
2020,4413,"Automotive parts, acc., and tire stores","7,937","7,875","7,148","6,760","8,363","8,949","8,683","8,729","8,568","8,260","8,273","8,216",,
2020,"442,443","Furniture, home furn, electronics, and appliance stores","17,801","17,535","13,964","7,284","11,263","15,745","16,825","17,371","17,302","17,608","17,082","17,028",,
2020,442,Furniture and home furnishings stores,"10,380","10,201","7,966","3,939","7,126","9,878","10,170","10,622","10,737","10,594","10,452","10,673",,
2020,443,Electronics and appliance stores,"7,421","7,334","5,998","3,345","4,137","5,867","6,655","6,749","6,565","7,014","6,630","6,355",,
2020,444,Building mat. and garden equip. and supplies dealers,"31,929","32,101","31,998","31,713","36,223","36,460","35,983","36,439","36,815","36,315","36,499","36,420",,
2020,4441,Building mat. and supplies dealers,"27,929","28,153","28,088","27,506","31,493","31,642","31,324","31,853","31,994","31,702","31,854","31,862",,
2020,445,Food and beverage stores,"64,665","64,859","81,816","70,989","72,222","70,819","71,247","70,150","70,162","69,699","70,559","70,368",,
2020,4451,Grocery stores,"57,915","58,008","74,223","64,070","64,550","63,114","63,513","62,327","62,297","61,924","62,791","62,659",,
2020,4453,"Beer, wine and liquor stores","4,858","4,876","5,622","5,189","5,672","5,662","5,697","5,790","5,758","5,668","5,691","5,600",,
2020,446,Health and personal care stores,"29,232","29,577","31,089","26,455","27,033","29,006","30,586","30,309","30,716","30,694","30,187","30,334",,
2020,44611,Pharmacies and drug stores,"24,088","24,358","27,262","24,277","24,133","25,209","25,860","25,560","26,124","25,871","25,443","25,502",,
2020,447,Gasoline stations,"43,191","41,408","34,947","26,948","29,847","33,578","35,253","36,179","36,416","36,347","35,264","38,425",,
2020,448,Clothing and clothing access. stores,"22,816","22,656","11,402","2,849","8,260","17,088","17,892","18,192","20,550","20,051","19,084","19,976",,
2020,4481,Clothing stores,"16,514","16,478","7,814","1,799","5,204","11,336","12,099","12,625","14,175","13,867","13,121","13,609",,
